type;id;currency_salary;salary_from;salary_to
permanent;jobhouse-inzynier-systemow-it;pln;10000;13000
b2b;coinfirm-qa-engineer;pln;14000;18000
permanent;coinfirm-qa-engineer;pln;12000;16000
b2b;e-file-frontend-developer-javascript-react;pln;10000;15000
b2b;advox-studio-it-project-manager-dc3f6a8c-6040-4a37-adda-5298ca8a59c9;pln;10000;14000
permanent;advox-studio-it-project-manager-dc3f6a8c-6040-4a37-adda-5298ca8a59c9;pln;7000;11000
b2b;stepstone-services-devops-engineer-warszawa;pln;15000;29000
permanent;stepstone-services-devops-engineer-warszawa;pln;12000;23000
b2b;pko-bp-finat-senior-developer-net;;;
b2b;dahliamatic-sp-z-o-o-c-c-developer;pln;20800;32000
b2b;nexio-management-junior-scrum-master;;;
permanent;nexio-management-junior-scrum-master;;;
b2b;pko-bp-finat-devops-engineer;;;
b2b;dahliamatic-sp-z-o-o-fullstack-developer-warszawa;pln;20800;32000
b2b;vm-pl-java-developer-with-german-mid-senior;pln;20160;26880
permanent;vm-pl-java-developer-with-german-mid-senior;pln;14000;19000
b2b;nfq-mid-software-engineer-php-krakow;pln;11500;17000
permanent;nfq-mid-software-engineer-php-krakow;pln;9600;14100
b2b;primaris-system-architect;pln;30240;33600
b2b;codequest-android-developer;pln;10000;16000
b2b;codete-mid-ruby-on-rails-developer;pln;14000;18000
permanent;codete-mid-ruby-on-rails-developer;pln;11500;15000
b2b;geniusee-react-native-engineer;usd;3800;5500
b2b;softkraft-vue-js-developer-remote-czestochowa;pln;14000;17000
permanent;bnp-paribas-bank-polska-big-data-ai-devops-engineer;;;
b2b;intellias-developer-with-matlab;pln;22000;27000
b2b;beetalents-project-manager;pln;18000;25000
b2b;booksy-javascript-developer-martech-team-warszawa;;;
b2b;manpowergroup-go-developer;pln;26880;30240
permanent;momentranks-lead-product-designer;usd;8000;12500
b2b;t2g-europe-remote-php-developer-warszawa;pln;8000;16000
permanent;s3-connected-health-devops-group-manager;;;
b2b;epam-systems-senior-javascript-developer-krakow;pln;14300;21600
permanent;epam-systems-senior-javascript-developer-krakow;pln;12000;19000
permanent;volvo-polska-delivery-leader-wroclaw;pln;7000;13000
b2b;selleo-node-js-with-passion-for-mountain-biking;pln;13000;19500
b2b;kiwihr-senior-backend-developer-node-js;pln;20000;25000
permanent;crif-junior-technical-product-manager;;;
b2b;epam-systems-senior-java-developer-poland;pln;16600;22600
permanent;epam-systems-senior-java-developer-poland;pln;14000;20000
b2b;acaisoft-mid-senior-c-c-developer;pln;12500;25000
permanent;lodgify-senior-devops-engineer-barcelona;;;
permanent;dynatrace-sp-z-o-o-ux-researcher;pln;16000;20000
mandate_contract;focus-telecom-polska-ux-ui-designer;;;
b2b;focus-telecom-polska-ux-ui-designer;;;
b2b;epam-systems-lead-javascript-developer-poland;pln;18600;24600
permanent;epam-systems-lead-javascript-developer-poland;pln;16000;22000
b2b;softkraft-react-developer-remote-4326e47b-1b41-4385-9e19-54f4a41b9f4c;pln;20000;23000
b2b;indy-tispr-qa-engineer;pln;9000;15500
permanent;indy-tispr-qa-engineer;pln;7500;13500
b2b;intent-ios-team-lead;pln;23000;34500
b2b;acaisoft-mid-senior-golang-developer-warszawa;pln;14000;25000
b2b;polskie-eplatnosci-s-a-programista-comarch-cdn-xl-erp;pln;10000;15000
permanent;polskie-eplatnosci-s-a-programista-comarch-cdn-xl-erp;pln;8000;13000
b2b;datawalk-support-specialist-warszawa;pln;8000;12000
permanent;vienna-insurance-group-polska-tester-warszawa;;;
b2b;intellias-principal-python-staff-data-engineer;pln;26000;31000
b2b;epam-systems-lead-java-developer-poland;pln;19600;26600
permanent;epam-systems-lead-java-developer-poland;pln;17000;24000
b2b;n-ix-net-architect;usd;7000;8500
permanent;n-ix-net-architect;usd;6500;7500
b2b;team-up-back-end-developer-net;pln;16000;21000
permanent;team-up-back-end-developer-net;pln;11000;14000
mandate_contract;selleo-staz-intern-front-end-back-end;;;
mandate_contract;eclipse-group-solutions-praktyki-php-magento-developer;pln;3010;3010
permanent;vienna-insurance-group-polska-it-junior-specialist;;;
b2b;capco-poland-remote-frontend-developer;pln;16800;25200
b2b;epam-systems-java-developer-poland;pln;11900;18600
permanent;epam-systems-java-developer-poland;pln;10000;16000
b2b;epam-systems-javascript-developer-gdansk;pln;9600;17600
permanent;epam-systems-javascript-developer-gdansk;pln;8000;15000
b2b;polskie-eplatnosci-s-a-programista-olap;pln;11000;17000
permanent;polskie-eplatnosci-s-a-programista-olap;pln;10000;16000
b2b;qodeca-design-team-leader-100-remote;pln;18000;21000
b2b;zen-com-senior-qa-automation-engineer;pln;15000;20000
permanent;zen-com-senior-qa-automation-engineer;pln;12000;17000
b2b;housecall-pro-ruby-on-rails-software-engineer-wroclaw;usd;4000;6600
b2b;stx-next-data-engineer-katowice;pln;20160;28560
b2b;zen-com-android-developer;pln;16000;25000
permanent;zen-com-android-developer;pln;14000;22000
permanent;fis-technology-services-technology-business-consultant-fis-uni;pln;6000;7000
permanent;epam-systems-senior-business-analyst-szczecin;;;
b2b;itds-business-analyst-investment-platform;pln;15000;20000
permanent;itds-business-analyst-investment-platform;pln;10000;15000
b2b;itds-manual-and-or-automatic-tester;pln;8000;14000
b2b;softkraft-react-developer-remote-d7a477fd-274f-4c54-b9ed-6d0561ef4862;pln;15000;18000
b2b;softkraft-php-developer-remote-zielona-gora;pln;17000;20000
b2b;acaisoft-senior-expert-golang-developer;pln;24000;30000
b2b;atende-industries-programista-python;pln;12000;15000
permanent;dsv-iss-net-developer;;;
permanent;dsv-iss-it-risk-specialist;;;
permanent;dsv-iss-data-engineer;;;
permanent;dsv-iss-business-analyst-powerbi;;;
permanent;dsv-iss-senior-it-specialist-wintel-servers;;;
permanent;dsv-iss-wms-application-engineer;;;
permanent;dsv-iss-network-specialist;;;
permanent;dsv-iss-it-project-manager;;;
permanent;dsv-iss-solution-architect;;;
permanent;dsv-iss-junior-specialist-hardware-procurement;;;
permanent;dsv-iss-development-tools-it-specialist;;;
b2b;digital-virgo-senior-sysops-engineer-team-lead;pln;16000;21000
permanent;digital-virgo-senior-sysops-engineer-team-lead;pln;15000;20000
b2b;klg-solutions-sp-z-o-o-analityk-systemowy;pln;10000;15000
b2b;pretius-java-developer-d1f75321-b844-4137-a213-b36dbd567f4c;pln;15960;21000
permanent;pretius-java-developer-d1f75321-b844-4137-a213-b36dbd567f4c;pln;13240;17430
mandate_contract;profil-software-react-native-developer-intern;pln;2000;2900
b2b;threatmark-devops-engineer;eur;5000;6200
b2b;itlt-fullstack-java-engineer;pln;23520;29400
permanent;boombit-s-a-support-developer;pln;4500;5500
mandate_contract;systegra-it-junior-service-desk-specialist;pln;3000;4500
b2b;peopletrust-sp-z-o-o-sre-devops;pln;18500;24500
b2b;tri-table-sp-z-o-o-php-developer;pln;7000;12000
b2b;monterail-regular-node-js-developer;pln;8000;15000
permanent;monterail-regular-node-js-developer;pln;6640;12450
b2b;monterail-senior-node-js-developer;pln;15000;25000
permanent;monterail-senior-node-js-developer;pln;12450;20750
b2b;systegra-it-ict-network-system-engineer;pln;5000;8000
permanent;systegra-it-ict-network-system-engineer;pln;4500;6000
b2b;happy-team-remote-net-engineer-wroclaw;pln;18000;25000
b2b;itlt-mid-senior-java-engineer;pln;23520;29400
permanent;cloudferro-sp-z-o-o-senior-ceph-engineer;pln;20000;24000
b2b;cloudferro-sp-z-o-o-senior-ceph-engineer;pln;20000;24000
b2b;monogo-sp-z-o-o-junior-magento-backend-developer;pln;6000;8500
permanent;monogo-sp-z-o-o-junior-magento-backend-developer;pln;5000;8000
mandate_contract;monogo-sp-z-o-o-staz-w-dziale-backend;pln;2000;4000
b2b;peopletrust-sp-z-o-o-kubernetes-engineer-devops-jinja;pln;20560;25800
b2b;core-logic-sysops-devops-administrator-it-7095e03e-c5fb-4178-9d1a-bf618260966b;;;
permanent;core-logic-sysops-devops-administrator-it-7095e03e-c5fb-4178-9d1a-bf618260966b;;;
permanent;stepstone-services-engineering-lead;;;
permanent;transition-technologies-psc-senior-python-developer;;;
permanent;hebe-it-crm-manager;;;
permanent;else-specjalisty-ds-wdrozen-systemu-erp;;;
permanent;cushman-wakefield-senior-developer;;;
b2b;insignia-php-full-stack-developer;pln;9000;12000
permanent;allegro-it-security-specialist-infra;;;
b2b;ryanair-labs-it-risk-and-compliance-analyst;;;
permanent;ryanair-labs-it-risk-and-compliance-analyst;;;
permanent;raiffeisen-bank-international-ag-it-due-diligence-leader;;;
b2b;raiffeisen-bank-international-ag-it-due-diligence-leader;;;
b2b;iceo-venture-builder-regular-java-developer;pln;18000;25000
permanent;jobllegro-mlodszy-programista-c-c;pln;5000;6000
b2b;manpowergroup-fullstack-software-engineer;pln;26880;33600
permanent;jobllegro-mlodszy-programista-testow-automatycznyc;pln;5000;6000
b2b;7n-analityk-biznesowy-gdansk;pln;16800;20160
b2b;postdata-specjalista-ds-ux;;;
permanent;postdata-specjalista-ds-ux;;;
b2b;capgemini-senior-java-developer;pln;20160;25200
permanent;capgemini-senior-java-developer;pln;13000;18375
b2b;itds-mid-senior-big-data-engineer;pln;20000;25000
permanent;itds-mid-senior-big-data-engineer;pln;15000;20000
b2b;semantive-aws-cloud-engineer;pln;9000;15000
b2b;pgs-software-s-a-senior-node-js-backend-developer;pln;15000;30000
permanent;pgs-software-s-a-senior-node-js-backend-developer;pln;12000;24000
b2b;tech-to-the-rescue-matching-manager;pln;10000;12500
permanent;tech-to-the-rescue-matching-manager;pln;8000;12000
permanent;volvo-polska-senior-data-analyst-qlik-developer;pln;13000;18000
permanent;larsen-toubro-infotech-senior-business-analyst;pln;25000;30000
b2b;semantive-devops-engineer-wroclaw;pln;16000;21500
b2b;semantive-aws-cloud-tech-lead-wroclaw;pln;21000;27000
b2b;outworking-s-a-test-manager-erp-implementation;pln;25000;26000
b2b;defiyield-senior-node-js-developer;usd;8000;11000
permanent;aplikacje-krytyczne-programista-etl-warszawa;pln;9000;14500
b2b;batmaid-test-automation-engineer-9a8860fd-7597-490a-8bcc-8b0922cfa851;pln;16000;19000
b2b;u2i-not-so-regular-ruby-developer-krakow;pln;14000;19000
permanent;u2i-not-so-regular-ruby-developer-krakow;pln;12000;16000
b2b;invo-php-wordpress-developer-d135a0ae-9b4b-42a2-bb4c-423cb4d5ee4d;pln;10000;16000
b2b;invo-flutter-developer-f7383b70-fe69-4a5f-831d-4c6a945f16fc;pln;16000;25000
b2b;boldare-php-developer-cbd7d71a-377d-4724-a181-15b9f2910342;pln;9000;15700
permanent;boldare-php-developer-cbd7d71a-377d-4724-a181-15b9f2910342;pln;6600;11700
b2b;iceo-venture-builder-frontend-developer-krakow;pln;14000;20000
b2b;itds-mid-senior-react-js-developer-97fad7d9-ee41-469c-92f3-5eef2f5c9416;pln;18000;25000
permanent;itds-mid-senior-react-js-developer-97fad7d9-ee41-469c-92f3-5eef2f5c9416;pln;12000;19000
b2b;mobica-opengl-vulkan-developer;pln;11300;17600
permanent;mobica-opengl-vulkan-developer;pln;9000;14000
permanent;volvo-polska-data-analyst;pln;9000;13000
b2b;pgs-software-s-a-azure-net-developer;pln;16000;29000
permanent;pgs-software-s-a-azure-net-developer;pln;12500;23400
b2b;vewd-software-project-manager-warszawa;pln;12000;19000
permanent;vewd-software-project-manager-warszawa;pln;12000;19000
permanent;infor-project-manager;pln;13000;16000
permanent;aplikacje-krytyczne-starszy-programista-etl;pln;14500;19000
b2b;sunscrapers-senior-linux-system-engineer;pln;26000;30000
permanent;sorigo-java-developer-staz-warszawa;;;
mandate_contract;sorigo-java-developer-staz-warszawa;;;
permanent;lyreco-advantage-junior-qa-automation;;;
b2b;leocode-react-js-developer-remote;pln;12800;19200
permanent;shiji-poland-sp-z-o-o-infrastructure-qa-engineer;pln;16000;20000
permanent;adform-sp-z-o-o-agile-coach;pln;19000;26000
permanent;quantum-software-devops-engineer;pln;15000;30000
b2b;quantum-software-devops-engineer;pln;14000;28000
b2b;zen-com-senior-java-developer;pln;16000;25000
permanent;zen-com-senior-java-developer;pln;14000;22000
b2b;safe4-draft-software-lead-developer;pln;20000;35000
b2b;semantive-senior-aws-cloud-engineer;pln;17000;23500
b2b;outworking-s-a-test-manager-erp-implementation-5e6655ee-32d5-49b4-a923-e46d51de3046;pln;25000;26000
b2b;outworking-s-a-test-manager-erp-implementation-183ccdb8-5c30-4fa6-837a-738a1b42b904;pln;25000;26000
b2b;from-poland-with-dev-vue-developer-us-baseball-startup;pln;22000;30000
permanent;from-poland-with-dev-vue-developer-us-baseball-startup;pln;16000;24000
b2b;iceo-venture-builder-regular-scala-developer-poznan;pln;18000;25000
permanent;aplikacje-krytyczne-architekt-it;pln;12000;18000
b2b;ptr-agencja-ecommerce-regular-vue-js-developer;pln;10000;18000
permanent;ptr-agencja-ecommerce-regular-vue-js-developer;pln;8000;12000
permanent;digitree-group-php-developer-55092074-00c2-43e0-afa1-76513521e133;pln;7000;10000
b2b;digitree-group-php-developer-55092074-00c2-43e0-afa1-76513521e133;pln;7000;10000
b2b;axpo-senior-project-manager-k-m;;;
b2b;polskie-eplatnosci-s-a-senior-java-developer;pln;15000;23000
permanent;polskie-eplatnosci-s-a-senior-java-developer;pln;14000;22000
b2b;hazelcast-senior-java-developer-369841a5-c69d-47eb-85c3-96fe374a7e90;pln;30000;50000
b2b;cognitum-remote-react-native-developer;pln;16000;22400
b2b;avra-software-full-stack-developer-java-javascript-wroclaw;pln;11000;20000
permanent;avra-software-full-stack-developer-java-javascript-wroclaw;pln;9000;17000
b2b;ptr-agencja-ecommerce-php-laravel-developer;pln;10000;20000
permanent;ptr-agencja-ecommerce-php-laravel-developer;pln;8000;16000
b2b;manpowergroup-pl-sql-developer-7e32a3a5-e537-4b18-b6c7-381db72f725f;pln;21840;23520
b2b;batmaid-qa-engineer-37e12175-5503-483d-a2b2-82641f5c4990;pln;11000;14000
permanent;emerson-process-management-sp-z-o-o-software-tester;pln;7000;11000
b2b;sente-junior-sql-c-developer;pln;7000;8200
permanent;sente-junior-sql-c-developer;pln;5700;6700
permanent;proaxia-consulting-group-ag-junior-sap-consultant;;;
permanent;aplikacje-krytyczne-tester-it;pln;5000;8000
permanent;atomstore-help-desk-krakow;pln;4000;5500
b2b;rite-nrg-net-software-engineer;pln;7500;9000
permanent;britenet-junior-salesforce-developer-step-one-d64f973b-46d4-4046-b80b-a69d3fe457e3;pln;3000;4000
b2b;monterail-senior-frontend-developer-with-react;pln;15000;25000
permanent;monterail-senior-frontend-developer-with-react;pln;12450;20750
b2b;samba-tv-senior-data-engineer-warszawa;pln;20000;23000
permanent;samba-tv-senior-data-engineer-warszawa;pln;17000;20000
permanent;ibb-pl-spolka-z-o-o-magento-2-backend-deweloper;pln;4000;6000
b2b;hr-bank-sp-z-o-o-fullstack-java-developer;pln;22500;29000
permanent;sportradar-front-end-developer-warszawa;pln;16000;20000
b2b;samba-tv-data-engineer-b45af72d-cb5f-43db-a136-627c1aec7c21;pln;17000;20000
permanent;samba-tv-data-engineer-b45af72d-cb5f-43db-a136-627c1aec7c21;pln;14000;17000
b2b;remoted-it-unreal-engine-4-developer-warszawa;eur;5500;8500
b2b;remoted-it-ui-programmer-unreal-engine-4;eur;5500;8500
mandate_contract;waytogrow-staz-zacznij-kariere-w-it-z-waytogrow;pln;3500;3500
b2b;legalzoom-software-engineer-ii;;;
permanent;legalzoom-software-engineer-ii;;;
b2b;legalzoom-staff-software-engineer;;;
permanent;legalzoom-staff-software-engineer;;;
b2b;ziflow-ux-researcher;pln;12000;16000
b2b;appliscale-mid-senior-java-developer;pln;15000;25000
permanent;appliscale-mid-senior-java-developer;pln;10500;20500
permanent;bcf-software-junior-c-developer;pln;6000;9000
b2b;bluesoft-analityk-systemu-erp;;;
permanent;polkomtel-sp-z-o-o-administrator-systemow-727c16bb-5042-4263-b974-6d3a73d6104e;;;
permanent;samsung-r-d-institute-poland-java-and-kotlin-developer;;;
permanent;new-balance-poland-junior-java-developer;;;
b2b;beecommerce-pl-junior-vue-js-developer-warszawa;pln;5000;7000
permanent;bank-pekao-s-a-architekt-it-cloud;;;
b2b;epam-systems-performance-tester;pln;18100;23600
permanent;epam-systems-performance-tester;pln;15500;21000
permanent;remitly-full-stack-engineer-wroclaw;pln;16000;31000
permanent;bank-pekao-s-a-inzynier-devops-cloud;;;
b2b;epam-systems-senior-functional-tester;pln;13100;17600
permanent;epam-systems-senior-functional-tester;pln;11000;15000
permanent;bank-pekao-s-a-programista-oracle-warszawa;;;
b2b;epam-systems-senior-test-automation-engineer-in-net-poland;pln;15500;21600
permanent;epam-systems-senior-test-automation-engineer-in-net-poland;pln;13000;19000
b2b;epam-systems-senior-test-automation-engineer-in-js-poland;pln;15500;21600
permanent;epam-systems-senior-test-automation-engineer-in-js-poland;pln;13000;19000
permanent;remitly-backend-engineer;pln;16000;31000
b2b;hr-bank-sp-zo-o-big-data-developer;pln;23000;28000
b2b;peopletrust-sp-z-o-o-java-developer-wroclaw;pln;11000;20000
b2b;epam-systems-python-engineer;pln;11900;18600
permanent;epam-systems-python-engineer;pln;10000;16000
b2b;clearcode-junior-python-developer;pln;5000;9000
b2b;peopletrust-sp-z-o-o-devops-engineer;pln;16500;26500
b2b;pko-bp-finat-architekt-rozwiazan-it;;;
permanent;remitly-engineering-manager;pln;26000;37500
b2b;epam-systems-bigdata-upskilling-program-poland;pln;19600;26600
permanent;epam-systems-bigdata-upskilling-program-poland;pln;16000;24000
permanent;devqube-sp-z-o-o-net-developer;pln;5000;9000
b2b;espeo-software-devops-engineer-poznan;pln;11880;23760
b2b;acaisoft-ios-engineer;pln;13000;20000
b2b;acaisoft-senior-ios-engineer-warszawa;pln;20000;30000
b2b;softwarehut-sp-z-o-o-android-developer-bialystok;pln;10000;14000
permanent;ledatel-sp-z-o-o-i-wspolnicy-sp-k-full-stack-developer-warszawa;pln;15000;25000
b2b;cpl-jobs-senior-front-end-angular-developer;pln;14500;26040
permanent;cpl-jobs-senior-front-end-angular-developer;pln;14900;19000
permanent;merck-business-solutions-europe-senior-analytics-solution-architect;;;
b2b;deviniti-jira-specialist-warszawa;pln;13000;19000
permanent;deviniti-jira-specialist-warszawa;pln;11000;16000
b2b;jobhouse-mid-senior-front-end-ui-developer;pln;20000;25000
permanent;akamai-system-administrator;;;
b2b;softwarehut-sp-z-o-o-ios-senior-developer;pln;14000;22000
b2b;in-team-fullstack-developer;pln;25200;31920
permanent;zooplus-sap-architect-fi-co;;;
permanent;demant-it-monitoring-specialist-f5534c77-0ce6-41a6-8871-e5d4386c9ddc;;;
b2b;silent-eight-remote-business-analyst;pln;14000;20000
permanent;fujitsu-technology-solutions-sp-z-o-o-quality-assurance-engineer-lodz;pln;6500;12000
b2b;spoc-s-a-project-manager-mid-level;;;
permanent;spoc-s-a-project-manager-mid-level;;;
b2b;itds-mid-senior-business-analyst-credit-risk;pln;14000;20000
b2b;kubo-sql-consultant-mid-senior;pln;12000;18000
permanent;volvo-polska-cmdb-architect;pln;12000;21000
b2b;silent-eight-remote-development-team-leader;pln;30000;33000
b2b;silent-eight-senior-implementation-manager;pln;17000;20000
b2b;vewd-software-developer-c;pln;8900;17800
permanent;vewd-software-developer-c;pln;9000;14000
b2b;devsdata-llc-software-architect-remote-warszawa;pln;48000;60000
b2b;proxet-poland-senior-automation-qa-engineer;pln;23000;27000
permanent;proxet-poland-senior-automation-qa-engineer;pln;21000;25000
b2b;proxet-poland-net-engineer;pln;26000;29000
permanent;proxet-poland-net-engineer;pln;22000;25000
b2b;grape-up-senior-java-engineer;pln;22000;30000
permanent;grape-up-senior-java-engineer;pln;18700;25400
b2b;itds-ios-developer-gdansk;pln;17000;24000
b2b;silent-eight-senior-python-developer-warszawa;pln;23000;28000
permanent;silent-eight-senior-python-developer-warszawa;pln;17000;21000
b2b;sidnet-react-developer-remote-warszawa;pln;12000;17000
b2b;sellions-support-consultant;pln;6000;9000
b2b;proxet-poland-senior-backend-developer;pln;27000;30000
permanent;proxet-poland-senior-backend-developer;pln;23000;25000
b2b;miquido-senior-front-end-developer;pln;16500;21000
permanent;miquido-senior-front-end-developer;pln;13800;17600
b2b;miquido-senior-react-native-developer;pln;18500;23500
permanent;miquido-senior-react-native-developer;pln;15500;19800
b2b;insart-llc-qa-automation-lead;usd;3000;5200
permanent;affirm-senior-developer-backend;pln;19000;23000
b2b;in-team-react-developer-poznan;pln;11760;18480
b2b;klika-tech-sp-z-o-o-middle-senior-full-stack-js-developer;pln;15000;29000
permanent;klika-tech-sp-z-o-o-middle-senior-full-stack-js-developer;pln;14000;27000
permanent;talex-s-a-net-backend-developer;;;
permanent;siemens-digital-logistics-devops-engineer;;;
b2b;asper-brothers-senior-full-stack-developer;pln;18000;25000
b2b;software-interactive-sp-z-o-o-react-developer;pln;15000;24000
permanent;talex-s-a-java-backend-developer;;;
permanent;talex-s-a-net-developer;;;
b2b;epam-systems-data-analyst-consultant;pln;25600;28600
permanent;epam-systems-data-analyst-consultant;pln;20000;26000
b2b;epico-it-poland-sp-z-o-o-node-js-developer;pln;28000;31000
b2b;epam-systems-senior-data-scientist-poland;pln;19600;26600
permanent;epam-systems-senior-data-scientist-poland;pln;16000;20000
permanent;onwelo-s-a-it-support-specialist-warszawa;;;
b2b;onwelo-s-a-it-support-specialist-warszawa;;;
b2b;epam-systems-senior-data-quality-engineer;pln;18600;24600
permanent;epam-systems-senior-data-quality-engineer;pln;15000;19000
b2b;epam-systems-senior-bi-analyst;pln;18600;24600
permanent;epam-systems-senior-bi-analyst;pln;15000;19000
b2b;grupa-interia-pl-administrator-systemow-2a45fcda-83fd-41b5-88b5-ff1e8e8d0230;pln;10000;14500
permanent;grupa-interia-pl-administrator-systemow-2a45fcda-83fd-41b5-88b5-ff1e8e8d0230;pln;8500;12000
b2b;funktional-wordpress-developer;pln;7000;12000
permanent;onwelo-s-a-inzynier-systemowy;pln;8000;12000
b2b;commpeak-front-end-developer;usd;4500;5500
permanent;nielsen-application-software-support-analyst;;;
permanent;geocomply-data-scientist;;;
permanent;geocomply-senior-qa-engineer;;;
b2b;sts-web-developer-seo-katowice;pln;8000;12000
b2b;epam-systems-cloud-expert;pln;22600;36600
permanent;epam-systems-cloud-expert;pln;20000;34000
permanent;nielsen-software-engineer-warszawa;;;
permanent;geocomply-wordpress-developer;;;
permanent;geocomply-senior-php-engineer-ubo-team;;;
permanent;evosoft-gmbh-service-specialist-cloud-automation;;;
permanent;evosoft-gmbh-sap-service-manager-architect;;;
permanent;madewithlove-asp-net-backend-engineer-in-geel-be;eur;4500;6500
mandate_contract;bank-millennium-mlodszy-tester-aplikacji;;;
b2b;bloomreach-mid-python-engineer-go-data-analytics-wroclaw;pln;18000;26000
b2b;epam-systems-lead-system-engineer-azure-cloud;pln;19600;26600
permanent;epam-systems-lead-system-engineer-azure-cloud;pln;17000;24000
permanent;nielsen-software-engineer;;;
b2b;epam-systems-senior-gcp-devops-engineer;pln;16600;22600
permanent;epam-systems-senior-gcp-devops-engineer;pln;14000;20000
b2b;peopletrust-sp-z-o-o-atlassian-solution-engineer;pln;11000;15000
b2b;peopletrust-sp-z-o-o-devops-with-aws-and-denodo;pln;20000;25000
b2b;peopletrust-sp-z-o-o-cloud-developer-with-denodo;pln;23000;28900
b2b;peopletrust-sp-z-o-o-cloud-developer-with-denodo-warszawa;pln;12000;18500
b2b;solidstudio-react-developer-wroclaw;pln;16800;23100
permanent;solidstudio-react-developer-wroclaw;pln;13945;19175
b2b;appwise-software-qa-tester-poznan;pln;5000;8000
b2b;sb-software-sp-z-o-o-graphic-designer;pln;8000;9000
b2b;skillspark-senior-php-developer-id-32160;eur;6400;7000
permanent;softserve-softserve-academy-mentor;;;
b2b;systell-administrator-systemow-it-devops;pln;7000;10000
permanent;bank-millennium-senior-it-tester-warszawa;;;
b2b;sunzinet-polska-mid-senior-frontend-developer;pln;12000;24000
b2b;nexio-management-junior-java-developer-c9d96374-338f-4310-b62f-314ef0e23adc;;;
mandate_contract;nexio-management-junior-java-developer-c9d96374-338f-4310-b62f-314ef0e23adc;;;
b2b;hays-poland-senior-automation-tester;pln;23500;26900
b2b;datawalk-administrator-systemow-it;pln;10000;16000
b2b;next-technology-professionals-it-project-manager-automotive-banking;pln;23520;28560
permanent;next-technology-professionals-it-project-manager-automotive-banking;pln;18000;23000
b2b;wunderman-thompson-technology-senior-technical-project-manager;pln;20000;26000
permanent;wunderman-thompson-technology-senior-technical-project-manager;pln;19000;25000
b2b;cksource-drupal-developer;pln;16800;23100
permanent;brainly-data-analyst-tutoring;pln;9000;15000
b2b;itds-net-developer-digital-banking;pln;16000;22000
permanent;itds-net-developer-digital-banking;pln;11000;17000
b2b;fundrbird-product-designer-ux-ui-wroclaw;pln;16000;22000
permanent;transition-technologies-psc-senior-test-automation-engineer;pln;13000;23000
b2b;transition-technologies-psc-senior-test-automation-engineer;pln;16000;20800
permanent;zooplus-microsoft-engineer;;;
permanent;xtpl-computer-vision-engineer;pln;12000;21000
b2b;recruitee-backend-developer-start-with-elixir;pln;13000;25000
permanent;recruitee-backend-developer-start-with-elixir;pln;10800;20800
b2b;dataedo-junior-product-owner;pln;6000;8000
permanent;dataedo-junior-product-owner;pln;5000;6640
b2b;indahash-react-javascript-developer;pln;10000;16000
b2b;recruitee-devops-engineer-poznan;pln;18000;25000
permanent;recruitee-devops-engineer-poznan;pln;15000;20750
permanent;allegro-mobile-software-engineer-ui;pln;12800;17600
b2b;ferchau-poland-sp-z-o-o-frontend-developer-mid-gdansk;pln;13000;16000
b2b;cred-principal-engineer-pl-team-100-remote;pln;35000;45000
b2b;pilot-co-lead-engineer;usd;7600;7600
b2b;wunderman-thompson-technology-technical-project-manager-poznan;pln;13000;18000
permanent;wunderman-thompson-technology-technical-project-manager-poznan;pln;12000;17000
b2b;sellions-tester-manualny;pln;5400;8100
b2b;sellions-junior-project-manager-it;pln;6000;9000
b2b;unity-group-php-developer-65b627ee-6075-478e-a74f-e5472792a246;pln;11800;16800
permanent;unity-group-php-developer-65b627ee-6075-478e-a74f-e5472792a246;pln;8500;12200
permanent;xtpl-software-backend-developer-c;pln;12000;21000
b2b;transition-technologies-psc-mid-senior-quality-assurance-engineer;pln;11200;20800
permanent;transition-technologies-psc-mid-senior-quality-assurance-engineer;pln;8000;16000
b2b;softserve-robotics-engineer-wroclaw;pln;15000;22000
permanent;softserve-robotics-engineer-wroclaw;pln;12000;19000
b2b;opstalent-devops-engineer-36bec1d8-35b6-4a44-a084-3280fc253e22;pln;13000;18400
permanent;opstalent-devops-engineer-36bec1d8-35b6-4a44-a084-3280fc253e22;pln;10790;15272
b2b;tidio-qa-engineer-warszawa;pln;8000;16000
permanent;tidio-qa-engineer-warszawa;pln;6640;13280
b2b;kubo-junior-sql-consultant;pln;9000;10500
b2b;intent-node-js-developer;pln;18000;23500
permanent;intent-node-js-developer;pln;15000;19500
b2b;eobuwie-pl-site-reliability-engineer;;;
permanent;eobuwie-pl-site-reliability-engineer;;;
b2b;lyreco-advantage-senior-net-developer;pln;18000;24000
permanent;lyreco-advantage-senior-net-developer;pln;15000;18000
permanent;wp-engine-senior-node-js-engineer;;;
permanent;aplitt-sp-z-o-o-administrator-ds-utrzymania-systemow-it;pln;9000;10000
b2b;lyreco-advantage-junior-mid-net-developer;pln;10000;15000
permanent;lyreco-advantage-junior-mid-net-developer;pln;7000;13000
permanent;grupa-zywiec-s-a-staz-w-dziale-digitalizacji-produkcji-warka;;;
b2b;happy-team-senior-azure-specialist;pln;23000;27000
b2b;sigmoidal-llc-senior-lead-qa-engineer-100-remote;pln;23000;35300
permanent;prowly-com-technical-support-specialist-warszawa;pln;6500;8000
permanent;allegro-front-end-software-engineer-8afc27ce-757a-44f7-bad5-4a6598e16ed6;pln;12800;17600
permanent;instinctools-middle-senior-python-developer-remote;;;
